puuid,player,label,smurf_score,judgment,confidence,account_level,current_tier,current_rank,matches_count,avg_kd,avg_kda,avg_hs_pct,win_rate,avg_dpr,avg_kpr,kd_rank_deviation,hs_rank_deviation,hs_kd_compound,kd_bimodal_score,tank_streak_max,kd_cliff_drop_rate,intentional_loss_rate,rank_gap,perf_rank_ratio_kd,perf_level_ratio,peak_tier_v3,peak_current_gap_v3,iso_score,lof_score,ocsvm_score,gmm_score,rule_score
1d142264-39b1-5d68-9d70-fe14e4e98e29,2月に結婚します#99999,0,8.0,🟢 通常プレイヤー,高,240.0,12.0,Gold 1,92.0,1.0392,1.4058,0.10847,0.4396,129.409,0.67296,-0.0449,-1.0254,0.00113,0.0116,2.0,0.022,0.0,0.0,1.299,0.866,12.0,0.0,6.59,0.2,3.62,49.8,0.0
534626f3-149c-50e7-90cc-875a01ef2487,GanGI#9086,0,8.6,🟢 通常プレイヤー,高,299.0,13.0,Gold 2,111.0,1.0045,1.3798,0.27786,0.4167,124.913,0.64995,-0.1897,1.7976,0.00279,0.0104,2.0,0.0,0.036,4.0,1.159,0.6719,17.0,4.0,7.26,0.19,3.64,48.77,2.0
95d169a9-4e29-5112-83e0-3b3cd745f41c,FUKURO88#JCJ08,0,8.8,🟢 通常プレイヤー,高,406.0,16.0,Platinum 2,109.0,1.0371,1.2391,0.2598,0.5046,139.893,0.75571,-0.418,1.33,0.00269,0.0054,1.0,0.0185,0.0,0.0,0.9723,0.5109,16.0,0.0,8.32,0.23,3.76,49.64,0.0
3f135724-af10-530d-8f0c-6d88855f41e8,masasidayooooo#0509,0,12.1,🟢 通常プレイヤー,高,91.0,13.0,Gold 2,45.0,0.8237,1.0777,0.24823,0.5333,110.898,0.59476,-0.9429,1.3039,0.00204,0.0044,1.0,0.0227,0.0,0.0,0.9504,1.8103,13.0,0.0,15.55,0.69,3.92,50.13,0.0
d6c3b41e-5513-591a-a27b-2fcfac4711c0,tanabe#3789,0,5.5,🟢 通常プレイヤー,高,167.0,12.0,Gold 1,109.0,1.0935,1.4669,0.20346,0.4771,138.585,0.71871,0.1811,0.5577,0.00222,0.0185,2.0,0.037,0.0367,1.0,1.3668,1.3095,13.0,1.0,1.48,0.13,3.29,48.68,0.0
2cf96a96-48a1-5d8d-bb7a-ab3d5eeb744a,マキシマムザジュウショク#8559,0,10.7,🟢 通常プレイヤー,高,128.0,12.0,Gold 1,18.0,0.9684,1.3247,0.20654,0.2778,146.252,0.73841,-0.3398,0.6091,0.002,0.0062,1.0,0.0,0.0556,1.0,1.2105,1.5132,13.0,1.0,11.63,0.93,3.79,51.49,0.0
26f5be50-4383-5448-ae84-0ea83f91142f,なっちゃあああ#1203,0,10.2,🟢 通常プレイヤー,高,180.0,10.0,Silver 2,291.0,0.8865,1.1762,0.16981,0.4793,116.759,0.57885,-0.3022,0.1635,0.00151,0.0103,2.0,0.0138,0.055,1.0,1.3298,0.985,11.0,1.0,11.16,1.43,3.19,49.84,0.0
5e08f226-64e7-5eba-af88-418b540a0205,æ Rocket Puncher#KRN,0,12.9,🟢 通常プレイヤー,高,418.0,19.0,Diamond 2,97.0,1.0471,1.3139,0.22341,0.4787,145.843,0.75009,-0.8429,0.5568,0.00234,0.0028,1.0,0.0104,0.0,2.0,0.8267,0.501,21.0,2.0,17.45,0.58,4.0,50.6,0.0
59799842-52e2-566f-a77b-f0521bd012ce,mint32#0412,0,10.3,🟢 通常プレイヤー,高,211.0,14.0,Gold 3,67.0,0.9969,1.36,0.17952,0.5,122.89,0.64674,-0.2214,0.1587,0.00179,0.0147,2.0,0.0152,0.0448,1.0,1.0681,0.9449,15.0,1.0,11.88,0.55,3.69,49.73,0.0
7a1946d5-c5d4-5cd8-ac27-c8141f17d5c5,MINImini#3921,0,7.4,🟢 通常プレイヤー,高,212.0,14.0,Gold 3,118.0,1.0363,1.4204,0.22526,0.5,130.238,0.68661,-0.057,0.921,0.00233,0.0054,1.0,0.0256,0.0085,2.0,1.1103,0.9777,16.0,2.0,5.45,0.41,3.36,49.17,0.0
d36887cc-795e-5c91-b273-007fad0faded,Azzuro#sekai,0,11.2,🟢 通常プレイヤー,高,333.0,15.0,Platinum 1,114.0,0.9888,1.4786,0.2077,0.4018,121.747,0.65599,-0.5971,0.4616,0.00205,0.0021,1.0,0.0177,0.0088,3.0,0.9888,0.5939,18.0,3.0,13.96,0.33,3.89,49.65,0.0
a0f26382-6951-5a7c-846d-edf6a7ff8b65,tet#2244,0,11.3,🟢 通常プレイヤー,高,355.0,15.0,Platinum 1,119.0,1.1464,1.5987,0.23808,0.5172,123.972,0.6694,-0.0134,0.968,0.00273,0.0088,1.0,0.0254,0.0252,2.0,1.1464,0.6459,17.0,2.0,14.21,0.47,3.69,49.87,0.0
9109eb25-9549-5043-b4bf-640dc6d616b1,Haru#Break,0,12.6,🟢 通常プレイヤー,高,145.0,13.0,Gold 2,61.0,1.3153,1.7175,0.15028,0.5593,138.94,0.7332,1.1055,-0.3286,0.00198,0.003,1.0,0.0167,0.0164,0.0,1.5177,1.8142,13.0,0.0,9.93,1.27,3.74,51.57,9.0
8b95dae5-83ba-5c42-ad88-328022322db4,noa#3717,0,7.5,🟢 通常プレイヤー,高,250.0,14.0,Gold 3,116.0,1.0575,1.5558,0.18938,0.5,130.532,0.6816,0.0312,0.3229,0.002,0.0048,1.0,0.0174,0.0,3.0,1.133,0.846,17.0,3.0,5.85,0.09,3.67,48.95,0.0
55ffd944-3212-52d6-9ae3-3f96f547b13d,sakana#0901,0,10.4,🟢 通常プレイヤー,高,96.0,9.0,Silver 1,29.0,0.9388,1.2165,0.12291,0.5926,122.69,0.69577,-0.0535,-0.6182,0.00115,0.0178,1.0,0.0714,0.0345,0.0,1.5646,1.9558,9.0,0.0,11.56,0.56,3.65,50.9,0.0
5068cafe-e940-56ac-add5-df931b76ca2f,Skipjack#GJMSR,0,5.5,🟢 通常プレイヤー,高,179.0,12.0,Gold 1,72.0,1.0346,1.4627,0.21275,0.5,124.954,0.6569,-0.064,0.7126,0.0022,0.0093,2.0,0.0141,0.0278,2.0,1.2933,1.156,14.0,2.0,1.19,0.05,3.48,48.93,0.0
9f810b72-5f74-5e79-a5da-402db7d755d0,にゃんち#ジル坊,0,9.9,🟢 通常プレイヤー,高,165.0,13.0,Gold 2,75.0,1.1685,1.5425,0.1566,0.3611,146.941,0.76316,0.4936,-0.2234,0.00183,0.0085,1.0,0.0,0.0267,0.0,1.3482,1.4163,13.0,0.0,9.99,0.79,3.35,51.33,0.0
