puuid,player,account_level,current_tier,current_elo,highest_tier,matches_count,avg_kills,avg_deaths,avg_assists,avg_kd,avg_kda,avg_hs_pct,avg_dmg_made,avg_dpr,avg_spr,avg_kpr,median_kd,median_kpr,kd_std,kd_cv,kills_std,kills_cv,hs_std,hs_cv,dpr_std,dpr_cv,score_cv,win_rate,max_win_streak,avg_margin,agent_diversity,top_agent_ratio,rank_gap,tier_range,tier_trend,perf_rank_ratio_kd,perf_rank_ratio_hs,perf_rank_ratio_dpr,perf_level_ratio,match_frequency,activity_span_days,level_range,dmg_efficiency,high_perf_rate,dominant_rate,avg_kd_diff,kd_diff_positive_rate,peak_tier_v3,peak_rr,peak_current_gap_v3,seasons_played,first_season_tier,latest_season_tier,seasonal_rank_growth,seasonal_avg_winrate,total_act_wins,avg_games_per_season,mmr_hist_count,avg_rr_change,rr_change_std,positive_rr_rate,max_rr_gain,elo_range,elo_velocity,max_rr_streak,avg_ability_total,avg_ultimate_casts,avg_afk_rounds,avg_rounds_in_spawn,avg_economy_spent,avg_loadout_value,economy_efficiency,party_count,solo_queue_rate,avg_session_playtime,avg_ff_outgoing,iso_score,lof_score,ocsvm_score,gmm_score,cluster,skill_cluster,rule_score,smurf_score,is_dbscan_noise,judgment,confidence,current_rank,highest_rank
dc0904e5-00f2-55b0-b0d5-b67a33d20547,サーフ ブンガク カマクラ#kmkr,175,11,825,12,56,12.804,15.214,5.179,0.9256,1.3026,0.12904,2472.36,120.828,185.488,0.62224,0.756,0.57794,0.6217,0.6717,5.54,0.4327,0.05678,0.44,38.842,0.3215,0.404,0.4821,5,-0.554,13,0.2143,1,8,-0.12136,1.2621,0.17597,164.7656,1.0578,0.0742,754.6,153,0.46481,0.1429,0.0357,-2.411,0.3214,12,0,1,13,11,4,-0.5833,0.4082,545,87.85,0,0.0,0.0,0.0,0,0,0.0,0,41.67,1.667,0.0,0.0,2625.45,3649.89,1.4101,2,0.6667,829.33,0.0,8.51,2.47,3.99,47.97,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Silver 3,Gold 1
199ec13f-6b65-5ced-ba94-39fb3c9c3c79,アセスルファムK#Ace K,253,16,1323,18,136,15.75,16.596,5.235,0.9888,1.3131,0.22714,3083.16,144.227,219.124,0.73586,0.9428,0.72078,0.4238,0.4285,5.525,0.3508,0.07651,0.3368,38.244,0.2652,0.3378,0.5074,6,-0.257,22,0.1618,2,12,-0.07166,0.927,0.21294,135.213,0.7817,0.1139,1194.34,233,0.49661,0.1029,0.0368,-0.846,0.3603,18,0,2,19,16,7,-0.4737,0.4979,857,92.0,0,0.0,0.0,0.0,0,0,0.0,0,52.67,2.667,0.0,0.0,3003.68,3729.92,1.3168,1,0.3333,102.67,0.0,10.63,0.46,3.89,47.19,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Platinum 2,Diamond 1
f6b0a645-27ee-5c81-996d-ee44deb0414f,Betty#ZAKO,166,12,928,12,70,12.614,15.4,5.471,0.9461,1.2994,0.1931,2454.79,116.09,175.637,0.60574,0.7951,0.60769,0.7518,0.7946,6.549,0.5192,0.10421,0.5397,47.671,0.4106,0.4901,0.5,8,0.043,14,0.2,0,8,-0.09219,1.1826,0.24138,145.1122,1.1399,0.1765,396.5,143,0.45892,0.1286,0.0429,-2.786,0.3714,12,0,0,7,12,5,-1.0,0.4754,609,180.0,0,0.0,0.0,0.0,0,0,0.0,0,33.67,1.333,0.0,0.0,2649.12,3453.94,1.4286,1,0.3333,132.33,0.0,10.12,0.99,3.7,47.53,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Gold 1,Gold 1
15270775-8d3e-55fe-bfbb-6a08c3cc3199,Oniichan#koga,188,13,1020,13,23,14.304,14.87,4.174,1.0046,1.3016,0.19999,2629.22,126.661,194.763,0.68533,0.875,0.66667,0.4682,0.4661,6.279,0.439,0.10965,0.5483,39.582,0.3125,0.4015,0.6522,5,1.391,3,0.5652,0,5,-0.09091,1.1591,0.23076,146.1471,1.0687,0.0186,1234.91,57,0.48371,0.1739,0.087,-0.565,0.3478,13,0,0,12,13,5,-0.6667,0.4707,256,42.67,0,0.0,0.0,0.0,0,0,0.0,0,36.0,2.667,0.0,0.0,2580.74,3772.43,1.557,1,0.3333,135.33,0.0,9.57,1.07,3.72,48.62,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Gold 2,Gold 2
e479acc4-5306-5447-9f3b-50ed193c22fc,AIAWYN#4033,122,10,731,10,41,15.244,14.488,5.049,1.139,1.507,0.18253,2982.2,145.469,221.397,0.74844,1.0526,0.72727,0.5591,0.4909,5.202,0.3413,0.08484,0.4648,37.686,0.2591,0.3336,0.4634,2,-0.634,11,0.1951,0,6,-0.10906,1.7086,0.2738,218.2034,1.8673,0.2012,203.82,65,0.52403,0.2195,0.0488,0.756,0.5122,10,0,0,9,10,3,-1.1667,0.2283,296,69.11,0,0.0,0.0,0.0,0,0,0.0,0,50.33,3.0,0.0,0.0,2593.32,3450.25,1.7569,1,0.3333,34.33,0.0,9.34,1.69,3.48,48.47,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Silver 2,Silver 2
e7574ffc-8a51-5ca3-a0ad-53182854d520,Fuuuuuchan#FKYU,402,15,1218,20,111,14.766,14.784,5.703,1.0521,1.4659,0.26313,2754.37,131.119,200.086,0.7034,1.0,0.72727,0.4554,0.4328,5.354,0.3626,0.08786,0.3339,36.585,0.279,0.3479,0.5364,6,0.144,21,0.2252,5,10,-0.01623,1.0521,0.26313,131.119,0.5235,0.0838,1325.35,334,0.49482,0.1802,0.036,-0.018,0.4505,20,0,5,25,15,5,-0.4,0.4705,1050,84.08,0,0.0,0.0,0.0,0,0,0.0,0,51.0,1.667,0.0,0.0,2482.05,3666.71,1.6956,1,0.3333,86.33,0.0,6.54,0.17,3.84,46.67,0,低スキル帯,7.0,9.8,1,🟢 通常プレイヤー,高,Platinum 1,Diamond 3
6db1ef64-d63a-50b3-8441-6f1919a99e0b,アッセナルスク総督#3309,154,13,1017,14,96,12.854,16.333,3.604,0.8244,1.0499,0.19445,2539.19,122.48,181.469,0.62003,0.756,0.58957,0.421,0.5106,4.956,0.3856,0.08212,0.4223,38.393,0.3135,0.3536,0.4,3,-1.542,13,0.3854,1,8,-0.04931,0.9512,0.22436,141.3236,1.0707,0.0993,966.89,132,0.45176,0.0625,0.0312,-3.479,0.1979,14,0,1,12,13,9,-0.4444,0.3386,557,98.0,0,0.0,0.0,0.0,0,0,0.0,0,51.67,2.0,0.0,0.0,2704.84,3718.93,1.2192,1,0.3333,219.0,0.0,10.47,0.68,3.9,46.96,0,低スキル帯,0.0,9.8,1,🟢 通常プレイヤー,高,Gold 2,Gold 3
5988602a-6881-5012-818a-9085bd9330af,Tangerinerose#ddff,134,9,641,10,27,12.111,14.778,5.259,0.9032,1.2981,0.13665,2313.74,118.626,183.628,0.62652,0.9231,0.65,0.4282,0.4741,4.4,0.3633,0.07018,0.5136,28.729,0.2422,0.332,0.4815,5,-0.741,7,0.4074,1,6,-0.21538,1.5053,0.22776,197.7102,1.348,0.0332,814.45,113,0.45446,0.037,0.037,-2.667,0.3704,10,0,1,7,9,4,-0.7143,0.4481,258,76.43,0,0.0,0.0,0.0,0,0,0.0,0,49.67,2.667,0.0,0.0,2759.72,3708.33,1.3091,1,0.3333,61.0,0.0,10.06,0.52,3.93,47.49,0,低スキル帯,0.0,9.7,1,🟢 通常プレイヤー,高,Silver 1,Silver 2
ec8e6779-761a-5ee4-bde0-61138632e6d9,僕のために生きて欲しかった#圧倒的支配,288,13,1000,20,139,16.022,14.906,3.899,1.1542,1.4304,0.23437,2987.2,146.528,223.687,0.78884,1.0,0.79167,0.5974,0.5176,6.376,0.398,0.09325,0.3979,45.899,0.3132,0.3813,0.5259,4,0.338,21,0.4245,7,10,-0.0364,1.3318,0.27042,169.0705,0.8016,0.11,1263.79,237,0.50354,0.1942,0.1151,1.115,0.4748,20,0,7,22,13,6,-0.3182,0.4685,962,89.18,0,0.0,0.0,0.0,0,0,0.0,0,31.67,1.333,0.0,0.0,2525.86,3259.88,1.8279,2,0.6667,44.0,0.0,10.43,0.35,3.6,47.4,0,低スキル帯,0.0,9.7,1,🟢 通常プレイヤー,高,Gold 2,Diamond 3
a9d39170-5165-5f42-84a5-6ccf3e844b09,poe4Nl#9521,173,10,726,11,66,15.379,14.682,3.803,1.1953,1.4685,0.20569,2937.29,146.373,218.655,0.76569,1.0,0.75192,0.8396,0.7024,6.452,0.4195,0.09544,0.464,48.722,0.3329,0.3997,0.4,3,-1.091,17,0.1818,1,6,-0.07067,1.793,0.30853,219.5595,1.3819,0.0555,1189.16,150,0.51848,0.2273,0.1212,0.697,0.4848,11,0,1,16,10,7,-0.1875,0.4253,503,65.31,0,0.0,0.0,0.0,0,0,0.0,0,20.33,2.0,0.0,0.0,2404.65,3948.46,1.9883,2,0.6667,30.67,0.0,10.57,0.59,3.49,46.99,0,低スキル帯,0.0,9.7,1,🟢 通常プレイヤー,高,Silver 2,Silver 3
